序号,代码,名称,第二板日期,买入日,买入价,卖出日,卖出价,净收益率,回调等待天数,第二板成交额(亿)
1,002599,盛通股份,20210817,20210902,9.085,20210907,9.525,4.7510%,12,4.98
2,002941,新疆交建,20210817,20210824,10.695,20210827,10.405,-2.8166%,5,5.47
3,002986,宇新股份,20210817,20210827,22.927,20210901,23.649,3.0478%,8,2.54
4,003039,顺控发展,20210817,20210823,33.135,20210826,33.611,1.3385%,4,4.60
5,300435,中泰股份,20210817,20210825,20.041,20210830,25.548,27.3797%,6,15.99
6,603136,天目湖,20210817,20210823,10.938,20210826,11.258,2.8246%,4,1.04
7,603759,海天股份,20210817,20210823,11.982,20210826,12.119,1.0430%,4,3.71
8,002060,广东建工,20210818,20210823,3.419,20210826,3.335,-2.5388%,3,1.02
9,002300,太阳电缆,20210818,20210824,6.009,20210827,7.011,16.5831%,4,1.57
10,605399,晨光新材,20210818,20210825,20.573,20210830,22.854,10.9837%,5,2.75
11,000836,ST富通,20210819,20210824,2.501,20210827,2.429,-2.9972%,3,4.93
12,002529,海源复材,20210819,20210827,21.421,20210901,19.560,-8.7855%,6,7.74
13,002668,TCL智家,20210819,20210825,5.709,20210830,5.673,-0.7252%,4,6.06
14,002939,长城证券,20210819,20210826,11.195,20210831,9.954,-11.1819%,5,18.83
15,003032,传智教育,20210819,20210825,27.289,20210830,27.061,-0.9325%,4,3.57
16,003040,楚天龙,20210819,20210827,25.191,20210901,23.276,-7.6990%,6,2.67
17,600773,西藏城投,20210819,20210906,29.981,20210909,31.930,6.4009%,12,20.96
18,002369,卓翼科技,20210820,20210826,7.314,20210831,7.546,3.0799%,4,4.14
19,000576,甘化科工,20210823,20210831,15.028,20210903,14.613,-2.8604%,6,4.36
20,000821,ST京机,20210823,20210901,16.289,20210906,14.924,-8.4835%,7,3.86
21,000922,佳电股份,20210823,20210827,6.501,20210901,7.610,16.9574%,4,3.60
22,000935,四川双马,20210823,20210827,22.432,20210901,23.039,2.6071%,4,3.00
23,002015,协鑫能科,20210823,20210830,14.417,20210902,14.863,2.9891%,5,12.45
24,002132,恒星科技,20210823,20210902,4.950,20210907,5.375,8.4817%,8,12.38
25,002248,华东数控,20210823,20210907,11.926,20210910,11.874,-0.5352%,11,0.16
26,002915,中欣氟材,20210823,20210902,18.830,20210907,17.927,-4.8974%,8,1.28
27,002943,宇晶股份,20210823,20210902,8.889,20210907,9.760,9.6945%,8,1.36
28,300809,华辰装备,20210823,20210909,30.100,20210914,29.001,-3.7497%,8,1.68
29,300946,恒而达,20210823,20210902,40.670,20210907,39.296,-3.4783%,8,2.97
30,600727,鲁北化工,20210823,20210902,12.356,20210907,12.224,-1.1706%,8,7.10
31,601882,海天精工,20210823,20210902,26.467,20210907,27.570,4.0673%,8,1.27
32,603260,合盛硅业,20210823,20210907,195.085,20210910,213.531,9.3552%,11,18.47
33,000629,钒钛股份,20210824,20210906,4.532,20210909,4.868,7.2981%,9,10.96
34,000837,秦川机床,20210824,20210906,13.167,20210909,12.274,-6.8802%,9,0.80
35,002897,意华股份,20210824,20210906,41.071,20210909,40.560,-1.3438%,9,2.11
36,003038,鑫铂股份,20210824,20210902,34.933,20210907,35.184,0.6183%,7,0.33
37,300179,四方达,20210824,20210831,10.479,20210903,10.949,4.3782%,5,9.26
38,600243,ST海华,20210824,20210907,5.923,20210910,5.937,0.1376%,10,1.18
39,600295,鄂尔多斯,20210824,20210906,13.601,20210909,15.902,16.8199%,9,4.33
40,600641,先导基电,20210824,20210830,26.016,20210902,21.172,-18.7177%,4,10.92
41,600961,株冶集团,20210824,20210902,11.616,20210907,11.994,3.1559%,7,0.23
42,603080,新疆火炬,20210824,20210831,13.606,20210903,13.632,0.0939%,5,1.96
43,603688,石英股份,20210824,20210902,22.641,20210907,21.452,-5.3517%,7,4.36
44,002489,浙江永强,20210825,20210831,3.567,20210903,3.563,-0.2000%,4,2.61
45,002631,德尔未来,20210825,20210902,9.305,20210907,8.995,-3.4225%,6,0.48
46,600478,科力远,20210825,20210831,7.959,20210903,7.631,-4.2186%,4,14.39
47,601388,怡球资源,20210825,20210908,6.085,20210913,6.829,12.1192%,10,6.77
48,603969,银龙股份,20210825,20210901,4.332,20210906,4.298,-0.8921%,5,2.19
49,000751,锌业股份,20210826,20210902,4.712,20210907,4.838,2.5574%,5,7.04
50,600160,巨化股份,20210826,20210902,13.627,20210907,14.173,3.9075%,5,11.34
51,603105,芯能科技,20210826,20210907,12.466,20210910,12.574,0.7622%,8,9.42
52,603260,合盛硅业,20210826,20210907,195.085,20210910,213.531,9.3552%,8,37.99
53,603628,清源股份,20210826,20210902,13.139,20210907,13.225,0.5608%,5,0.53
54,605366,宏柏新材,20210826,20210831,8.291,20210903,8.047,-3.0449%,3,1.63
55,002256,兆新股份,20210827,20210903,5.893,20210908,5.747,-2.5745%,5,26.21
56,002598,ST章鼓,20210827,20210902,12.496,20210907,12.684,1.3997%,4,3.28
57,002599,盛通股份,20210827,20210902,9.085,20210907,9.525,4.7510%,4,7.70
58,600243,ST海华,20210827,20210907,5.923,20210910,5.937,0.1376%,7,2.89
59,600281,华阳新材,20210827,20210906,8.004,20210909,8.326,3.9209%,6,4.45
60,600328,中盐化工,20210827,20210902,14.382,20210907,15.452,7.3403%,4,16.65
61,603505,金石资源,20210827,20210906,16.365,20210909,18.880,15.2642%,6,3.07
62,605277,新亚电子,20210827,20210902,8.424,20210907,8.788,4.2137%,4,0.45
63,000815,美利云,20210830,20210907,6.943,20210910,6.817,-1.9273%,6,0.42
64,002411,必康退,20210830,20210917,15.308,20210924,16.592,8.2883%,14,8.62
65,002539,云图控股,20210830,20210910,15.050,20210915,19.492,29.4207%,9,11.50
66,002895,川恒股份,20210830,20210906,28.755,20210909,33.684,17.0404%,5,2.00
67,300488,恒锋工具,20210830,20210906,32.737,20210909,27.927,-14.7937%,5,4.82
68,300895,铜牛信息,20210830,20210906,39.623,20210909,36.503,-7.9744%,5,2.60
69,600096,云天化,20210830,20210907,18.954,20210910,24.033,26.6932%,6,25.74
70,600367,红星发展,20210830,20210906,16.988,20210909,21.029,23.6866%,5,10.29
71,600602,云赛智联,20210830,20210906,6.315,20210909,6.149,-2.7323%,5,1.13
72,600804,退市鹏博,20210830,20210906,6.253,20210909,6.397,2.1977%,5,12.17
73,601388,怡球资源,20210830,20210908,6.085,20210913,6.829,12.1192%,7,12.21
74,603033,三维股份,20210830,20210922,19.250,20210927,19.881,3.1802%,15,0.71
75,000762,西藏矿业,20210831,20210906,70.404,20210909,81.328,15.4163%,4,54.23
76,002192,融捷股份,20210831,20210908,180.424,20210913,188.350,4.2928%,6,24.53
77,002248,华东数控,20210831,20210907,11.926,20210910,11.874,-0.5352%,5,13.57
78,002774,快意电梯,20210831,20210907,7.864,20210910,7.906,0.4355%,5,0.59
79,600295,鄂尔多斯,20210831,20210906,13.601,20210909,15.902,16.8199%,4,6.87
80,600500,中化国际,20210831,20210906,10.605,20210909,11.204,5.5490%,4,18.61
81,601101,昊华能源,20210831,20210922,7.764,20210927,7.581,-2.4529%,14,4.40
82,603612,索通发展,20210831,20210906,24.353,20210909,27.017,10.8403%,4,10.90
83,603938,三孚股份,20210831,20210906,35.174,20210909,33.230,-5.6246%,4,3.97
84,000540,ST中天,20210901,20210909,3.022,20210914,2.849,-5.8235%,6,0.59
85,000935,四川双马,20210901,20210907,22.732,20210910,23.279,2.3062%,4,10.33
86,002206,海利得,20210901,20210913,10.086,20210916,9.306,-7.8304%,8,5.24
87,002208,合肥城建,20210901,20210906,8.889,20210909,8.991,1.0369%,3,7.23
88,002350,北京科锐,20210901,20210908,8.494,20210913,8.006,-5.8480%,5,2.34
89,300688,创业黑马,20210901,20210909,22.186,20210914,20.505,-7.6784%,6,4.06
90,600150,中国船舶,20210901,20210907,23.607,20210910,27.821,17.7520%,4,26.36
91,600571,信雅达,20210901,20210915,7.904,20210922,8.196,3.5937%,10,2.30
92,600783,鲁信创投,20210901,20210907,14.752,20210910,13.908,-5.8234%,4,4.57
93,601126,四方股份,20210901,20210907,12.161,20210910,11.479,-5.7066%,4,14.41
94,600815,厦工股份,20210902,20210908,3.212,20210913,3.098,-3.6233%,4,1.35
95,601608,中信重工,20210902,20210914,5.265,20210917,4.870,-7.6042%,8,10.05
96,601800,中国交建,20210902,20210915,7.995,20210922,7.517,-6.0757%,9,27.59
97,000791,甘肃能源,20210903,20210910,5.353,20210915,5.277,-1.5071%,5,8.18
98,002202,金风科技,20210903,20210910,16.009,20210915,16.143,0.7366%,5,80.84
99,002487,大金重工,20210903,20210910,12.751,20210915,15.907,24.6477%,5,0.59
100,002531,天顺风能,20210903,20210910,14.322,20210915,16.157,12.7106%,5,13.46
101,600011,华能国际,20210903,20210910,5.953,20210915,5.727,-3.8937%,5,16.21
102,600163,中闽能源,20210903,20210913,7.771,20210916,7.843,0.8290%,6,8.18
103,600863,华能蒙电,20210903,20210913,2.482,20210916,2.720,9.4639%,6,3.02
104,603507,振江股份,20210903,20210909,18.677,20210914,20.176,7.9235%,4,1.67
105,605305,中际联合,20210903,20210909,37.685,20210914,38.569,2.2454%,4,1.26
106,000551,创元科技,20210906,20210910,9.370,20210915,9.052,-3.4855%,4,1.64
107,000931,中关村,20210906,20210913,8.034,20210916,7.846,-2.4393%,5,5.97
108,002006,精工科技,20210906,20210914,20.003,20210917,19.303,-3.5977%,6,7.47
109,002112,三变科技,20210906,20210910,6.293,20210915,6.249,-0.8035%,4,3.10
110,002349,精华制药,20210906,20210913,5.973,20210916,5.917,-1.0366%,5,0.32
111,300011,鼎汉技术,20210906,20210910,9.615,20210915,9.215,-4.2542%,4,7.70
112,600658,电子城,20210906,20210909,4.684,20210914,4.820,2.7872%,3,2.60
113,600683,京投发展,20210906,20210916,6.743,20210923,7.366,9.1379%,8,0.16
114,600688,上海石化,20210906,20210913,4.242,20210916,4.848,14.1725%,5,7.03
115,603667,五洲新春,20210906,20210913,15.438,20210916,18.891,22.2662%,5,3.05
116,000537,绿发电力,20210907,20210930,13.572,20211012,14.248,4.8816%,15,0.13
117,000681,视觉中国,20210907,20210913,14.933,20210916,14.359,-3.9480%,4,7.56
118,000852,石化机械,20210907,20210914,7.024,20210917,7.136,1.5077%,5,0.28
119,600110,诺德股份,20210907,20210917,22.402,20210924,22.530,0.4693%,8,16.56
120,600618,氯碱化工,20210907,20210927,15.588,20210930,13.403,-14.1141%,12,2.22
121,600725,云维股份,20210907,20210914,4.522,20210917,4.378,-3.2942%,5,1.33
122,603393,新天然气,20210907,20210917,35.872,20210924,34.117,-4.9924%,8,14.02
123,603897,长城科技,20210907,20210915,42.181,20210922,38.331,-9.2279%,6,1.35
124,000635,英力特,20210908,20210915,16.158,20210922,16.392,1.3465%,5,6.97
125,000862,银星能源,20210908,20210913,7.104,20210916,7.446,4.7247%,3,1.25
126,002125,湘潭电化,20210908,20210917,13.008,20210924,12.975,-0.3536%,7,16.87
127,002453,华软科技,20210908,20210928,16.148,20211008,17.821,10.2605%,12,6.56
128,002597,金禾实业,20210908,20210915,39.401,20210922,39.461,0.0537%,5,22.57
129,002748,世龙实业,20210908,20210922,10.700,20210927,10.050,-6.1781%,8,0.14
130,002808,恒久退,20210908,20210913,7.944,20210916,8.626,8.4815%,3,2.24
131,300052,中青宝,20210908,20210922,17.169,20210927,15.572,-9.3982%,8,1.83
132,600096,云天化,20210908,20210922,28.189,20210927,23.603,-16.3683%,8,41.85
133,600273,嘉化能源,20210908,20210917,10.592,20210924,10.397,-1.9456%,7,14.37
134,600328,中盐化工,20210908,20210922,20.954,20210927,18.989,-9.4821%,8,16.85
135,600367,红星发展,20210908,20210917,21.571,20210924,19.930,-7.7064%,7,0.60
136,600740,山西焦化,20210908,20210915,10.480,20210922,9.550,-8.9740%,5,11.56
137,000816,智慧农业,20210909,20210917,3.762,20210924,3.728,-0.9970%,6,0.63
138,000937,冀中能源,20210909,20210924,4.920,20210929,4.662,-5.3595%,9,0.48
139,000968,蓝焰控股,20210909,20210924,12.256,20210929,12.654,3.1436%,9,1.80
140,002895,川恒股份,20210909,20210922,40.831,20210927,33.864,-17.1637%,7,9.23
141,600691,潞化科技,20210909,20210927,6.573,20210930,5.777,-12.2123%,10,15.19
142,601702,华峰铝业,20210909,20210915,12.620,20210922,12.148,-3.8430%,4,5.83
143,603351,威尔药业,20210909,20210917,25.353,20210924,29.715,17.1071%,6,0.85
144,603612,索通发展,20210909,20210915,29.806,20210922,27.357,-8.3151%,4,14.23
145,000676,智度股份,20210910,20210917,8.104,20210924,7.126,-12.1633%,5,9.60
146,002155,湖南黄金,20210910,20210916,11.145,20210923,9.987,-10.4868%,4,11.97
147,002283,天润工业,20210910,20210924,8.975,20210929,7.807,-13.1176%,8,4.81
148,002452,长高电气,20210910,20210915,6.665,20210922,6.669,-0.0500%,3,0.74
149,600259,中稀有色,20210910,20210917,66.123,20210924,63.678,-3.7975%,5,14.03
150,603979,金诚信,20210910,20210917,23.482,20210924,21.339,-9.2237%,5,6.89
151,002170,芭田股份,20210913,20210924,5.768,20210929,5.622,-2.6260%,7,5.76
152,002176,江特电机,20210913,20210917,28.574,20210924,27.986,-2.1588%,4,69.62
153,002529,海源复材,20210913,20210917,19.810,20210924,22.989,15.9455%,4,3.47
154,002606,大连电瓷,20210913,20210927,10.822,20210930,10.432,-3.7094%,8,0.51
155,002667,ST威领,20210913,20210923,32.986,20210928,25.687,-22.2283%,6,4.43
156,600067,冠城新材,20210913,20210922,4.537,20210927,4.283,-5.7071%,5,6.13
157,603088,宁波精达,20210913,20210922,4.475,20210927,4.471,-0.2000%,5,1.07
158,603861,白云电器,20210913,20210924,11.834,20210929,11.522,-2.7338%,7,2.42
159,001896,豫能控股,20210914,20210924,9.325,20210929,8.496,-8.9894%,6,0.63
160,002487,大金重工,20210914,20210928,20.025,20211008,24.503,22.2607%,8,7.88
161,002539,云图控股,20210914,20210924,17.911,20210929,14.715,-17.9456%,6,8.41
162,002647,仁东控股,20210914,20210922,7.553,20210927,7.158,-5.3213%,4,10.94
163,002886,沃特股份,20210914,20210924,24.483,20210929,20.721,-15.4681%,6,2.98
164,300437,清水源,20210914,20210930,19.090,20211012,17.951,-6.0641%,5,5.86
165,603033,三维股份,20210914,20210922,19.250,20210927,19.881,3.1802%,4,1.94
166,603665,康隆达,20210914,20210922,13.477,20210927,16.022,18.7863%,4,0.18
167,601068,中铝国际,20210915,20210923,5.523,20210928,4.528,-18.1168%,4,4.29
168,002046,国机精工,20210916,20210928,13.503,20211008,11.360,-15.9666%,6,5.43
169,002165,红宝丽,20210916,20210928,7.624,20211008,7.056,-7.5417%,6,5.90
170,300275,梅安森,20210916,20210924,7.795,20210929,7.062,-9.4963%,4,2.18
171,600470,六国化工,20210916,20210924,9.825,20210929,8.296,-15.6631%,4,10.97
172,600844,金煤科技,20210916,20210924,4.602,20210929,4.058,-11.9273%,4,3.81
173,603315,福鞍股份,20210916,20210924,25.157,20210929,22.533,-10.5301%,4,2.07
174,603667,五洲新春,20210916,20210924,18.479,20210929,16.902,-8.6376%,4,3.39
175,603948,建业股份,20210916,20210928,24.682,20211008,30.415,23.1249%,6,1.46
176,603985,恒润股份,20210916,20210928,29.014,20211008,30.039,3.4309%,6,1.76
177,000731,四川美丰,20210917,20210927,11.386,20210930,9.675,-15.1235%,4,2.27
178,000912,泸天化,20210917,20210927,7.404,20210930,6.557,-11.5400%,4,5.66
179,300402,宝色股份,20210917,20210928,28.584,20211008,33.933,18.6122%,5,5.02
180,603079,圣达生物,20210917,20210927,17.030,20210930,16.103,-5.5409%,4,2.61
181,000791,甘肃能源,20210922,20210927,6.033,20210930,5.657,-6.3298%,3,3.36
182,002039,黔源电力,20210922,20210928,16.147,20211008,16.066,-0.6023%,4,3.40
183,002153,石基信息,20210922,20211008,14.213,20211013,13.666,-3.9481%,7,0.40
184,600021,上海电力,20210922,20210930,11.000,20211012,9.810,-10.9214%,6,3.50
185,600032,浙江新能,20210922,20210930,15.089,20211012,14.494,-4.0420%,6,1.06
186,600163,中闽能源,20210922,20210928,8.531,20211008,9.282,8.7040%,4,2.94
187,600483,福能股份,20210922,20210930,12.337,20211012,9.864,-20.1459%,6,4.40
188,600821,金开新能,20210922,20210930,8.235,20211012,8.417,2.1061%,6,1.80
189,600863,华能蒙电,20210922,20210928,2.842,20211008,3.219,13.1623%,4,7.86
190,600905,三峡能源,20210922,20210928,6.452,20211008,7.105,10.0240%,4,105.91
191,601016,节能风电,20210922,20210928,5.236,20211008,6.437,22.8422%,4,15.95
192,603988,中电电机,20210922,20210927,18.642,20210930,17.724,-5.0253%,3,0.46
193,605169,洪通燃气,20210922,20210930,14.981,20211012,13.409,-10.5943%,6,3.02
194,000829,天音控股,20210923,20210928,16.990,20211008,17.253,1.4472%,3,16.22
195,002366,融发核电,20210923,20210930,5.323,20211012,4.818,-9.5891%,5,0.73
196,300882,万胜智能,20210923,20210928,13.436,20211008,14.736,9.5751%,3,1.93
197,600011,华能国际,20210923,20210930,7.084,20211012,6.147,-13.3224%,5,22.31
198,600170,上海建工,20210923,20211011,3.452,20211014,2.849,-17.5739%,7,10.11
199,600295,鄂尔多斯,20210923,20210927,15.816,20210930,13.000,-17.9011%,2,4.56
200,600548,深高速,20210923,20210930,9.195,20211012,8.746,-4.9830%,5,2.65
201,600795,国电电力,20210923,20210928,2.360,20211008,2.628,11.2341%,3,19.56
202,600987,航民股份,20210923,20210928,4.042,20211008,4.158,2.7674%,3,0.92
203,601991,大唐发电,20210923,20210930,3.328,20211012,3.044,-8.6101%,5,11.77
204,603155,新亚强,20210923,20211012,23.356,20211015,20.253,-13.3850%,8,1.50
205,000546,金圆股份,20210927,20211013,10.985,20211018,12.184,10.8091%,7,11.51
206,000631,顺发恒能,20210927,20210930,3.242,20211012,3.548,9.3584%,3,2.07
207,000880,潍柴重机,20210927,20211008,6.485,20211013,5.601,-13.7316%,4,0.27
208,000993,闽东电力,20210927,20211014,14.577,20211019,15.172,3.9826%,8,10.54
209,600841,动力新科,20210927,20210930,11.809,20211012,11.467,-2.9931%,3,4.99
210,603719,良品铺子,20210927,20211008,35.215,20211013,37.068,5.1645%,4,3.36
211,000852,石化机械,20210928,20211008,8.164,20211013,6.807,-16.7275%,3,2.27
212,603138,海量数据,20210928,20211013,15.392,20211018,14.747,-4.2910%,6,1.91
213,603318,水发燃气,20210928,20211012,8.943,20211015,7.775,-13.1638%,5,0.32
214,603922,ST金鸿顺,20210928,20211008,12.635,20211013,15.513,22.6768%,3,0.15
215,603988,中电电机,20210928,20210930,17.742,20211012,17.274,-2.7351%,2,5.65
216,002865,钧达股份,20210929,20211011,19.439,20211014,20.999,7.9292%,3,1.20
217,300830,金现代,20210930,20211012,12.657,20211015,13.544,6.9070%,3,8.98
218,600268,国电南自,20210930,20211013,5.880,20211018,5.582,-5.1635%,4,3.18
219,000695,滨海能源,20211008,20211014,10.785,20211019,11.054,2.3949%,4,1.00
220,600071,凤凰光学,20211008,20211028,42.521,20211102,44.987,5.7000%,14,0.06
221,601199,江南水务,20211008,20211014,3.748,20211019,3.564,-5.0003%,4,4.01
222,603978,深圳新星,20211008,20211013,29.955,20211018,33.153,10.5775%,3,3.72
223,000586,汇源通信,20211011,20211018,9.555,20211021,9.465,-1.0368%,5,0.90
224,002368,太极股份,20211011,20211014,26.183,20211019,27.566,5.1825%,3,11.35
225,002505,鹏都农牧,20211011,20211022,3.252,20211027,3.528,8.4068%,9,11.53
226,002612,朗姿股份,20211011,20211020,34.907,20211025,33.523,-4.0654%,7,9.66
227,300209,行云科技,20211011,20211015,5.227,20211020,5.945,13.6453%,4,2.25
228,600540,新赛股份,20211011,20211014,5.983,20211019,6.527,8.9882%,3,9.80
229,603619,中曼石油,20211011,20211015,13.234,20211020,15.639,18.0777%,4,3.89
230,603922,ST金鸿顺,20211011,20211101,21.547,20211104,17.920,-16.9319%,15,0.80
231,601869,长飞光纤,20211012,20211019,33.252,20211022,30.260,-9.0973%,5,6.15
232,603038,华立股份,20211012,20211022,10.494,20211027,9.707,-7.6003%,8,1.19
233,605011,杭州热电,20211012,20211018,25.193,20211021,27.676,9.7583%,4,6.30
234,000150,ST宜康,20211013,20211018,3.332,20211021,3.968,19.0001%,3,4.52
235,002552,宝鼎科技,20211013,20211018,13.967,20211021,13.953,-0.2000%,3,0.99
236,002762,金发拉比,20211013,20211018,8.984,20211021,10.395,15.5972%,3,3.12
237,301017,漱玉平民,20211013,20211020,25.730,20211025,27.703,7.5692%,5,5.62
238,000526,学大教育,20211014,20211020,22.261,20211025,23.858,7.0737%,4,3.20
239,002529,海源复材,20211014,20211025,26.533,20211028,28.216,6.2416%,7,6.16
240,002607,中公教育,20211014,20211019,11.906,20211022,10.995,-7.7554%,3,15.85
241,003032,传智教育,20211014,20211019,23.827,20211022,23.603,-1.0389%,3,2.57
242,003038,鑫铂股份,20211014,20211025,28.708,20211028,30.224,5.1791%,7,0.22
243,300338,ST开元,20211014,20211020,6.763,20211025,6.287,-7.1457%,4,7.22
244,600661,昂立教育,20211014,20211022,12.066,20211027,11.674,-3.3477%,6,1.61
245,603396,金辰股份,20211014,20211022,141.201,20211027,136.102,-3.7109%,6,2.73
246,688357,建龙微纳,20211015,20211027,115.143,20211101,114.194,-0.9239%,8,3.12
247,002747,埃斯顿,20211018,20211025,26.424,20211028,25.158,-4.8903%,5,10.92
248,600382,广东明珠,20211018,20211102,2.897,20211105,2.735,-5.7193%,11,0.01
249,600435,北方导航,20211018,20211022,10.115,20211027,9.625,-4.9430%,4,9.30
250,601101,昊华能源,20211018,20211021,7.923,20211026,7.690,-3.0384%,3,5.47
251,603105,芯能科技,20211018,20211022,16.228,20211027,16.002,-1.4934%,4,5.63
252,002487,大金重工,20211019,20211025,27.169,20211028,31.359,15.3249%,4,7.14
253,002610,ST爱康,20211019,20211025,5.123,20211028,5.157,0.5805%,4,47.07
254,002782,可立克,20211019,20211025,11.868,20211028,12.626,6.2849%,4,1.21
255,002922,伊戈尔,20211019,20211027,22.700,20211101,26.866,18.2487%,6,0.73
256,600277,ST亿利,20211019,20211027,4.739,20211101,5.044,6.3377%,6,4.35
257,600995,南网储能,20211019,20211103,17.441,20211108,18.203,4.2701%,11,0.08
258,603045,福达合金,20211019,20211027,18.695,20211101,17.367,-7.2035%,6,0.04
259,603897,长城科技,20211019,20211022,43.812,20211027,45.977,4.8418%,3,3.06
260,000829,天音控股,20211020,20211027,21.173,20211101,23.890,12.7348%,5,10.03
261,000993,闽东电力,20211020,20211027,18.229,20211101,17.021,-6.7247%,5,20.76
262,002706,良信股份,20211020,20211025,13.850,20211028,14.636,5.5734%,3,8.31
263,002073,软控股份,20211021,20211028,7.918,20211102,7.520,-5.1230%,5,5.86
264,002762,金发拉比,20211021,20211028,11.616,20211102,12.564,8.0605%,5,6.26
265,300437,清水源,20211021,20211029,32.546,20211103,27.976,-14.1423%,6,7.23
266,600861,北京人力,20211021,20211027,22.445,20211101,20.534,-8.6162%,4,0.04
267,603948,建业股份,20211021,20211101,32.106,20211104,30.155,-6.1771%,7,1.18
268,000416,ST民控,20211022,20211028,4.172,20211102,4.268,2.1957%,4,0.72
269,000897,津滨发展,20211022,20211027,2.266,20211101,2.424,6.8570%,3,1.67
270,600039,四川路桥,20211022,20211102,5.559,20211105,5.445,-2.1419%,7,0.26
271,002108,沧州明珠,20211025,20211103,9.235,20211108,8.466,-8.4257%,7,12.78
272,300672,国科微,20211025,20211101,170.978,20211104,178.624,4.3714%,5,12.85
273,603922,ST金鸿顺,20211025,20211101,21.547,20211104,17.920,-16.9319%,5,0.68
274,605286,同力天启,20211025,20211105,31.036,20211110,38.301,23.3097%,9,0.13
275,603683,晶华新材,20211027,20211103,11.720,20211108,10.959,-6.5961%,5,0.99
276,603693,江苏新能,20211027,20211101,21.503,20211104,20.429,-5.0946%,3,5.41
277,002165,红宝丽,20211028,20211103,6.803,20211108,6.417,-5.7826%,4,12.20
278,002487,大金重工,20211028,20211104,37.704,20211109,44.003,16.6069%,5,12.07
279,002805,丰元股份,20211029,20211108,25.670,20211111,28.222,9.8418%,6,4.16
280,002815,崇达技术,20211029,20211116,15.558,20211119,14.573,-6.4317%,12,6.60
281,002882,金龙羽,20211029,20211104,10.655,20211109,11.614,8.8989%,4,3.41
282,600556,天下秀,20211029,20211115,13.318,20211118,12.655,-5.0782%,11,7.48
283,603283,赛腾股份,20211029,20211110,14.268,20211115,15.633,9.4671%,8,0.96
284,002824,和胜股份,20211101,20211108,29.869,20211111,32.502,8.7146%,5,2.12
285,002837,英维克,20211101,20211104,11.482,20211109,11.015,-4.1608%,3,1.90
286,300052,中青宝,20211101,20211117,36.518,20211122,35.042,-4.1412%,12,26.36
287,600696,退市岩石,20211101,20211108,30.255,20211111,28.986,-4.2964%,5,2.38
288,601218,吉鑫科技,20211101,20211110,6.916,20211115,7.269,5.0024%,7,6.79
289,603063,禾望电气,20211101,20211108,30.545,20211111,32.404,5.9845%,5,9.39
290,603088,宁波精达,20211101,20211116,8.248,20211119,8.576,3.8717%,11,1.99
291,603348,文灿股份,20211101,20211116,41.651,20211119,42.649,2.2958%,11,2.06
292,603399,永杉锂业,20211101,20211116,7.064,20211119,7.076,0.0831%,11,1.70
293,603836,海程邦达,20211101,20211109,14.977,20211112,16.539,10.3239%,6,0.20
294,605286,同力天启,20211101,20211105,31.036,20211110,38.301,23.3097%,4,5.74
295,002454,松芝股份,20211102,20211116,6.812,20211119,6.949,1.8981%,10,0.94
296,002491,通鼎互联,20211102,20211109,4.932,20211112,5.597,13.3767%,5,4.08
297,002916,深南电路,20211102,20211109,78.716,20211112,78.107,-0.8742%,5,5.66
298,003043,华亚智能,20211102,20211116,60.509,20211119,58.078,-4.1181%,10,2.19
299,600522,中天科技,20211102,20211123,17.331,20211126,16.274,-6.1979%,15,5.65
300,600742,富维股份,20211102,20211109,11.016,20211112,11.924,8.1477%,5,10.09
301,600764,中国海防,20211102,20211109,29.329,20211112,30.249,3.0376%,5,8.17
302,603738,泰晶科技,20211102,20211109,29.125,20211112,25.108,-13.8894%,5,4.80
303,603920,世运电路,20211102,20211112,18.209,20211117,18.921,3.8070%,8,5.96
304,002096,易普力,20211103,20211116,15.607,20211119,15.231,-2.5055%,9,0.03
305,002870,香山股份,20211103,20211112,40.935,20211117,41.164,0.4593%,7,1.56
306,002529,海源复材,20211104,20211109,30.455,20211112,28.006,-8.1421%,3,7.33
307,002751,易尚退,20211104,20211112,24.062,20211117,24.488,1.6693%,6,5.23
308,002847,盐津铺子,20211104,20211110,36.664,20211115,35.186,-4.1310%,4,2.64
309,300264,佳创视讯,20211104,20211119,10.385,20211124,11.444,10.0980%,11,11.88
310,600556,天下秀,20211104,20211115,13.318,20211118,12.655,-5.0782%,7,14.85
311,603115,海星股份,20211104,20211111,24.272,20211116,26.347,8.4476%,5,1.10
312,000700,模塑科技,20211105,20211112,4.302,20211117,4.288,-0.4323%,5,3.11
313,002045,国光电器,20211105,20211112,14.332,20211117,14.068,-1.9434%,5,0.69
314,002164,宁波东力,20211105,20211116,5.283,20211119,5.947,12.4768%,7,1.64
315,002487,大金重工,20211105,20211112,40.735,20211117,42.993,5.4434%,5,20.51
316,002699,ST美盛,20211105,20211118,4.852,20211123,4.758,-2.0538%,9,4.35
317,002796,世嘉科技,20211105,20211111,8.624,20211116,8.866,2.6974%,4,0.55
318,002879,长缆科技,20211105,20211112,20.665,20211117,21.314,3.0406%,5,1.45
319,002885,京泉华,20211105,20211119,16.616,20211124,17.613,5.8994%,10,2.32
320,003019,宸展光电,20211105,20211110,19.553,20211115,20.286,3.6492%,3,1.84
321,300437,清水源,20211105,20211112,36.178,20211117,37.881,4.6072%,5,19.69
322,603178,圣龙股份,20211105,20211126,17.124,20211201,16.057,-6.3288%,15,1.18
